elapsed_seconds,status,shoulder_width_current,shoulder_width_deviation,shoulder_width_status,shoulder_tilt_current,shoulder_tilt_deviation,shoulder_tilt_status,head_drop_ratio_current,head_drop_ratio_deviation,head_drop_ratio_status,forward_head_ratio_current,forward_head_ratio_deviation,forward_head_ratio_status,head_tilt_current,head_tilt_deviation,head_tilt_status
2.07,good,0.3782,0.0152,good,179.2053,44.3218,good,0.4113,0.0061,good,-0.4643,0.0006,good,-178.1097,88.6714,good
2.11,good,0.3780,0.0157,good,179.1738,44.2903,good,0.4108,0.0066,good,-0.4646,0.0002,good,-178.1535,88.7152,good
2.16,good,0.3779,0.0161,good,179.1600,44.2765,good,0.4108,0.0066,good,-0.4647,0.0002,good,-178.0907,88.6525,good
2.19,good,0.3777,0.0165,good,179.1463,44.2627,good,0.4108,0.0066,good,-0.4648,0.0001,good,-178.0279,88.5896,good
2.22,good,0.3776,0.0168,good,179.1368,44.2533,good,0.4106,0.0068,good,-0.4650,0.0001,good,-177.9509,88.5126,good
2.28,good,0.3779,0.0162,good,179.1017,44.2182,good,0.4102,0.0071,good,-0.4655,0.0006,good,-177.9991,88.5608,good
2.30,good,0.3781,0.0155,good,179.0667,44.1832,good,0.4099,0.0075,good,-0.4660,0.0011,good,-178.0472,88.6089,good
2.33,good,0.3783,0.0150,good,179.0382,44.1546,good,0.4099,0.0075,good,-0.4661,0.0012,good,-178.0370,88.5987,good
2.36,good,0.3785,0.0146,good,179.0096,44.1261,good,0.4098,0.0075,good,-0.4663,0.0014,good,-178.0268,88.5885,good
2.39,good,0.3787,0.0141,good,178.9736,44.0900,good,0.4106,0.0067,good,-0.4666,0.0017,good,-178.0815,88.6432,good
2.41,good,0.3789,0.0135,good,178.9277,44.0441,good,0.4111,0.0063,good,-0.4668,0.0019,good,-178.0822,88.6439,good
2.44,good,0.3791,0.0129,good,178.8818,43.9983,good,0.4115,0.0058,good,-0.4670,0.0022,good,-178.0829,88.6446,good
2.47,good,0.3792,0.0128,good,178.8427,43.9591,good,0.4128,0.0045,good,-0.4673,0.0024,good,-178.0759,88.6376,good
2.51,good,0.3793,0.0124,good,178.8151,43.9315,good,0.4143,0.0031,good,-0.4681,0.0032,good,-178.1658,88.7275,good
2.56,good,0.3794,0.0122,good,178.7793,43.8958,good,0.4157,0.0017,good,-0.4692,0.0043,good,-178.1824,88.7441,good
2.59,good,0.3794,0.0121,good,178.7436,43.8600,good,0.4171,0.0003,good,-0.4704,0.0055,good,-178.1991,88.7608,good
2.62,good,0.3799,0.0110,good,178.7327,43.8492,good,0.4183,0.0010,good,-0.4710,0.0061,good,-178.3143,88.8760,good
2.67,good,0.3802,0.0100,good,178.7543,43.8708,good,0.4198,0.0024,good,-0.4708,0.0059,good,-178.3071,88.8688,good
2.70,good,0.3806,0.0090,good,178.7759,43.8923,good,0.4212,0.0039,good,-0.4705,0.0057,good,-178.2999,88.8616,good
2.73,good,0.3812,0.0074,good,178.7667,43.8832,good,0.4223,0.0050,good,-0.4703,0.0054,good,-178.2957,88.8574,good
2.75,good,0.3819,0.0057,good,178.7576,43.8740,good,0.4234,0.0060,good,-0.4701,0.0052,good,-178.2915,88.8533,good
2.78,good,0.3827,0.0037,good,178.7277,43.8442,good,0.4234,0.0061,good,-0.4696,0.0048,good,-178.2726,88.8344,good
2.82,good,0.3836,0.0012,good,178.6757,43.7922,good,0.4244,0.0070,good,-0.4698,0.0049,good,-178.3317,88.8934,good
2.84,good,0.3846,0.0013,good,178.6236,43.7401,good,0.4254,0.0080,good,-0.4699,0.0050,good,-178.3909,88.9526,good
